timestamp,open,high,low,close
2025-05-27 09:30:00,5854.07,5873.33,5854.07,5872.76
2025-05-27 09:31:00,5872.59,5873.64,5866.61,5866.61
2025-05-27 09:32:00,5866.41,5870.18,5866.41,5867.21
2025-05-27 09:33:00,5866.81,5868.31,5865.85,5866.18
2025-05-27 09:34:00,5866.47,5866.70,5861.18,5863.68
2025-05-27 09:35:00,5863.06,5863.06,5857.15,5858.71
2025-05-27 09:36:00,5858.56,5858.94,5855.72,5857.59
2025-05-27 09:37:00,5857.82,5860.99,5856.12,5860.13
2025-05-27 09:38:00,5860.18,5862.82,5859.95,5862.43
2025-05-27 09:39:00,5862.56,5864.30,5861.42,5864.05
2025-05-27 09:40:00,5864.16,5867.13,5863.75,5866.80
2025-05-27 09:41:00,5867.05,5867.82,5866.06,5866.74
2025-05-27 09:42:00,5866.75,5866.92,5864.80,5864.84
2025-05-27 09:43:00,5864.80,5868.51,5863.86,5867.35
2025-05-27 09:44:00,5867.69,5868.59,5866.63,5867.84
2025-05-27 09:45:00,5867.95,5869.84,5867.72,5869.33
2025-05-27 09:46:00,5869.64,5871.11,5868.85,5871.08
2025-05-27 09:47:00,5870.65,5871.62,5870.00,5870.86
2025-05-27 09:48:00,5870.86,5873.59,5870.79,5873.02
2025-05-27 09:49:00,5873.12,5873.12,5870.16,5870.90
2025-05-27 09:50:00,5870.75,5871.89,5867.31,5871.89
2025-05-27 09:51:00,5871.96,5872.63,5871.59,5872.58
2025-05-27 09:52:00,5872.42,5873.31,5871.18,5872.23
2025-05-27 09:53:00,5872.24,5872.38,5870.84,5871.82
2025-05-27 09:54:00,5871.82,5872.54,5869.23,5872.54
2025-05-27 09:55:00,5872.31,5875.18,5872.19,5874.09
2025-05-27 09:56:00,5874.39,5874.74,5873.69,5874.25
2025-05-27 09:57:00,5874.32,5874.61,5873.65,5873.95
2025-05-27 09:58:00,5873.77,5874.60,5873.63,5874.55
2025-05-27 09:59:00,5874.56,5875.20,5873.93,5874.06
2025-05-27 10:00:00,5874.34,5880.42,5874.34,5880.20
2025-05-27 10:01:00,5880.04,5881.34,5879.59,5880.90
2025-05-27 10:02:00,5880.85,5881.23,5880.11,5880.93
2025-05-27 10:03:00,5881.04,5881.28,5879.88,5880.78
2025-05-27 10:04:00,5880.80,5881.99,5879.93,5880.41
2025-05-27 10:05:00,5880.24,5881.92,5880.15,5880.27
2025-05-27 10:06:00,5880.30,5881.32,5880.11,5881.19
2025-05-27 10:07:00,5881.08,5881.24,5879.45,5880.77
2025-05-27 10:08:00,5880.74,5882.64,5880.05,5882.38
2025-05-27 10:09:00,5882.31,5882.98,5881.99,5882.65
2025-05-27 10:10:00,5882.62,5883.19,5882.24,5882.65
2025-05-27 10:11:00,5882.77,5883.20,5882.02,5882.21
2025-05-27 10:12:00,5882.15,5884.00,5880.93,5883.88
2025-05-27 10:13:00,5883.95,5884.83,5883.42,5884.46
2025-05-27 10:14:00,5884.57,5885.04,5882.25,5882.40
2025-05-27 10:15:00,5882.28,5883.21,5882.07,5882.18
2025-05-27 10:16:00,5882.23,5884.25,5881.83,5884.25
2025-05-27 10:17:00,5884.23,5886.04,5883.88,5885.81
2025-05-27 10:18:00,5885.61,5887.10,5885.61,5886.43
2025-05-27 10:19:00,5886.54,5888.31,5886.36,5888.30
2025-05-27 10:20:00,5888.28,5890.10,5887.60,5890.10
2025-05-27 10:21:00,5890.02,5890.45,5889.28,5889.95
2025-05-27 10:22:00,5890.01,5891.39,5890.01,5891.12
2025-05-27 10:23:00,5891.16,5891.59,5890.89,5891.00
2025-05-27 10:24:00,5890.94,5891.24,5889.14,5890.32
2025-05-27 10:25:00,5890.26,5891.31,5889.82,5891.31
2025-05-27 10:26:00,5891.32,5893.01,5891.13,5891.78
2025-05-27 10:27:00,5891.77,5893.23,5891.77,5892.46
2025-05-27 10:28:00,5892.54,5894.33,5892.54,5893.36
2025-05-27 10:29:00,5893.26,5893.57,5890.05,5890.40
2025-05-27 10:30:00,5890.46,5892.26,5890.17,5892.17
2025-05-27 10:31:00,5892.21,5893.11,5891.48,5892.84
2025-05-27 10:32:00,5892.97,5893.69,5892.71,5892.82
2025-05-27 10:33:00,5892.75,5892.75,5891.63,5891.86
2025-05-27 10:34:00,5891.84,5893.45,5891.19,5892.82
2025-05-27 10:35:00,5892.81,5893.01,5891.95,5892.38
2025-05-27 10:36:00,5892.33,5892.54,5889.29,5889.35
2025-05-27 10:37:00,5889.25,5889.94,5888.44,5889.59
2025-05-27 10:38:00,5889.63,5890.44,5889.35,5889.47
2025-05-27 10:39:00,5889.43,5891.86,5889.17,5891.54
2025-05-27 10:40:00,5891.83,5893.26,5890.83,5893.26
2025-05-27 10:41:00,5893.34,5893.35,5890.96,5891.45
2025-05-27 10:42:00,5891.55,5893.04,5891.47,5892.34
