timestamp,open,high,low,close,volume
2025-05-25 00:00:00,107762.7,107830.26,107510.0,107797.0,2.84746802
2025-05-25 00:01:00,107792.54,107831.67,107540.0,107550.0,0.9512502
2025-05-25 00:02:00,107812.5,107870.32,107560.0,107560.0,3.22949485
2025-05-25 00:03:00,107848.2,107917.0,107580.0,107906.46,3.76497235
2025-05-25 00:04:00,107912.21,107999.0,107610.0,107730.0,25.98960656
2025-05-25 00:05:00,107965.46,108000.0,107690.0,107923.97,6.75471148
2025-05-25 00:06:00,107924.41,107975.51,107620.0,107975.51,4.3050954
2025-05-25 00:07:00,107975.51,107985.71,107680.0,107965.17,2.82248581
2025-05-25 00:08:00,107964.53,108000.0,107690.0,107972.0,1.86901648
2025-05-25 00:09:00,107976.12,108062.88,107700.0,108061.95,4.47070879
2025-05-25 00:10:00,108061.95,108061.95,107760.0,108013.74,5.00196805
2025-05-25 00:11:00,108011.0,108035.95,107760.0,108031.94,2.30856387
2025-05-25 00:12:00,107999.9,108073.46,107790.0,108047.34,7.66360316
2025-05-25 00:13:00,108047.34,108066.45,107770.0,107999.9,4.34904691
2025-05-25 00:14:00,107957.41,108000.0,107690.0,108000.0,1.47527115
2025-05-25 00:15:00,107957.41,108005.9,107660.0,107921.0,1.44905004
2025-05-25 00:16:00,107921.0,107955.8,107670.0,107928.68,1.04631715
2025-05-25 00:17:00,107921.0,107955.8,107670.0,107891.93,2.90514739
2025-05-25 00:18:00,107896.87,107908.29,107610.0,107899.35,1.73579343
2025-05-25 00:19:00,107888.0,107916.07,107610.0,107870.0,7.64264283
2025-05-25 00:20:00,107867.93,107879.88,107825.2,107878.48,1.99368525
2025-05-25 00:21:00,107873.55,107893.21,107600.0,107870.0,1.81037458
2025-05-25 00:22:00,107821.2,107880.79,107580.0,107847.73,2.32481434
2025-05-25 00:23:00,107848.0,107877.87,107590.0,107870.34,1.87580575
2025-05-25 00:24:00,107868.0,107921.59,107590.0,107906.6,2.93728292
2025-05-25 00:25:00,107908.0,107908.0,107620.0,107887.19,2.25926038
2025-05-25 00:26:00,107887.09,107934.99,107590.0,107925.55,2.42488284
2025-05-25 00:27:00,107920.0,108041.12,107630.0,108041.12,0.72864853
2025-05-25 00:28:00,107985.0,108106.28,107760.0,108085.19,2.5560252
2025-05-25 00:29:00,108085.2,108096.75,107760.0,108051.01,1.67973824
2025-05-25 00:30:00,108053.0,108124.52,107810.0,108114.86,1.35856578
2025-05-25 00:31:00,108115.24,108167.98,107810.0,108092.0,5.24289032
2025-05-25 00:32:00,108125.02,108125.12,107830.0,108085.31,1.24985443
2025-05-25 00:33:00,108085.3,108097.27,107800.0,108085.11,2.12842579
2025-05-25 00:34:00,108092.0,108092.0,107810.0,108071.83,1.3387471
2025-05-25 00:35:00,108072.65,108092.0,107750.0,107999.31,1.94727401
2025-05-25 00:36:00,108065.5,108065.5,107630.0,107640.0,1.41753746
2025-05-25 00:37:00,107945.0,108059.67,107690.0,108026.9,3.78360243
2025-05-25 00:38:00,108017.56,108040.88,107660.0,108010.42,2.59522061
2025-05-25 00:39:00,108010.42,108019.5,107710.0,107958.27,3.45359674
2025-05-25 00:40:00,107958.27,108008.1,107610.0,107882.78,2.63007892
2025-05-25 00:41:00,107882.77,107952.1,107500.0,107767.0,15.31966858
2025-05-25 00:42:00,107755.0,107812.6,107280.0,107563.27,16.49404065
2025-05-25 00:43:00,107562.45,107571.1,107120.0,107458.84,26.79989372
2025-05-25 00:44:00,107458.81,107588.5,107210.0,107537.03,12.72396085
2025-05-25 00:45:00,107538.56,107551.7,107110.0,107417.76,12.10453579
2025-05-25 00:46:00,107420.44,107609.51,107170.0,107609.51,6.63404613
2025-05-25 00:47:00,107593.38,107673.34,107350.0,107651.96,2.13186042
2025-05-25 00:48:00,107647.98,107688.0,107260.0,107594.0,2.97973696
2025-05-25 00:49:00,107652.7,107669.0,107310.0,107570.0,1.75693131
2025-05-25 00:50:00,107562.42,107649.98,107300.0,107634.39,2.16220917
2025-05-25 00:51:00,107631.99,107654.0,107330.0,107562.41,7.04561052
2025-05-25 00:52:00,107562.4,107631.0,107080.0,107360.08,3.69809728
2025-05-25 00:53:00,107412.1,107474.29,107030.0,107470.8,3.82449859
2025-05-25 00:54:00,107460.0,107484.0,107160.0,107474.26,1.24420256
2025-05-25 00:55:00,107474.27,107482.94,107050.0,107367.55,7.32764866
2025-05-25 00:56:00,107367.55,107495.0,107080.0,107180.0,2.25927457
2025-05-25 00:57:00,107450.7,107497.94,107190.0,107441.57,2.58198
2025-05-25 00:58:00,107476.0,107514.69,107150.0,107487.59,4.48172152
2025-05-25 00:59:00,107487.59,107489.29,107100.0,107489.29,4.88299936
2025-05-25 01:00:00,107450.7,107486.0,107100.0,107361.76,3.75213774
2025-05-25 01:01:00,107357.53,107383.9,107000.0,107050.0,9.29912463
